FAO Commodity,FAO Code,Primary Product Extraction Rate,FAO Calorie Content (kcal/100 gram),KCAL_PER_KG
Wheat,15,1.0,334,3340
Flour of Wheat,16,0.79,364,3640
Bran of Wheat,17,0.18,213,2130
Macaroni,18,0.79,367,3670
Germ of Wheat,19,0.20,382,3820
Bread,20,0.91,249,2490
Bulgur,21,0.95,345,3450
Pastry,22,0.91,369,3690
Starch of Wheat,23,0.51,362,3620
Wheat Gluten,24,0.095,380,3800
Wheat-Fermented Beverages,26,0.95,60,600
"Rice, paddy",27,1.0,280,2800
Rice Husked,28,0.77,357,3570
Milled/Husked Rice,29,0.69,360,3600
Rice - total (Rice milled equivalent),30,0.67,360,3600
Rice Milled,31,0.67,360,3600
Rice Broken,32,0.54,360,3600
"Rice, Gluten",33,0.051,380,3800
Starch of Rice,34,0.54,362,3620
Bran of Rice,35,0.080,276,2760
Rice bran oil,36,0.011,884,8840
Cake Rice Bran,37,0.051,NA,NA
Rice Flour,38,0.57,366,3660
Rice-Fermented Beverages,39,1.78,133,1330
Breakfast Cereals,41,0.85,389,3890
Barley,44,1.0,332,3320
Pot Barley,45,0.72,348,3480
Barley Pearled,46,0.32,346,3460
Bran of Barley,47,0.19,NA,NA
Barley Flour and Grits,48,0.26,343,3430
Malt,49,0.73,368,3680
Malt Extract,50,0.58,367,3670
Beer of Barley,51,4.8,49,490
Maize,56,1.0,356,3560
Germ of Maize,57,0.060,373,3730
Flour of Maize,58,0.82,363,3630
Bran of Maize,59,0.11,NA,NA
Maize oil,60,0.027,884,8840
Cake of Maize,61,0.031,NA,NA
Maize Gluten,63,0.082,380,3800
Starch of Maize,64,0.62,362,3620
Beer of Maize,66,5.5,40,400
Popcorn,68,1,356,3560
Rye,71,1.0,319,3190
Flour of Rye,72,0.80,341,3410
Bran of Rye,73,0.17,NA,NA
Oats,75,1.0,385,3850
"Oats, Rolled",76,0.53,384,3840
Bran of Oats,77,0.20,NA,NA
Millet,79,1.0,340,3400
Flour of Millet,80,0.86,340,3400
Bran of Millet,81,0.10,NA,NA
Beer of Millet,82,4.5,40,400
Sorghum,83,1.0,343,3430
Flour of Sorghum,84,0.90,343,3430
Bran of Sorghum,85,0.080,NA,NA
Beer of Sorghum,86,4.9,40,400
Buckwheat,89,1.0,330,3300
Flour of Buckwheat,90,0.75,334,3340
Bran of Buckwheat,91,0.20,NA,NA
Quinoa,92,1.0,342,3420
Fonio,94,1.0,338,3380
Flour of Fonio,95,0.80,355,3550
Bran of Fonio,96,0.15,NA,NA
Triticale,97,1.0,327,3270
Flour of Triticale,98,0.75,341,3410
Bran of Triticale,99,0.23,NA,NA
Canary seed,101,1.0,388,3880
Mixed grain,103,1.0,340,3400
Flour of Mixed Grain,104,0.80,364,3640
Bran of Mixed Grain,105,0.16,NA,NA
"Cereals, nes",108,1.0,340,3400
Infant Food,109,-9999,368,3680
Wafer,110,0.91,439,4390
Flour of Cereals nes,111,0.75,NA,NA
Bran of Cereals nes,112,0.16,NA,NA
"Cereal Preparations, Nes",113,-9999,NA,NA
"Food Preparations of Flour, Meal or Malt Extract",115,-9999,41,410
Potatoes,116,1.0,67,670
Potatoes Flour,117,0.20,355,3550
Frozen Potatoes,118,0.50,73,730
Starch of Potatoes,119,0.19,362,3620
Potato Offals,120,0.48,NA,NA
Tapioca of Potatoes,121,0.16,362,3620
Sweet potatoes,122,1.0,92,920
Cassava,125,1.0,109,1090
Flour of Cassava,126,0.24,338,3380
Tapioca of Cassava,127,0.16,362,3620
Cassava Dried,128,0.28,212,2120
Cassava Starch,129,0.20,362,3620
Yautia (Cocoyam),135,1.0,109,1090
Taro (Cocoyam),136,1.0,86,860
Yams,137,1.0,101,1010
Roots and tubers nes,149,1.0,91,910
Flour of Roots and Tubers nes,150,0.20,282,2820
"Roots and Tubers, Dried nes",151,0.24,282,2820
"Fructose, Chemically Pure",154,-9999,375,3750
"Maltose, Chemically Pure",155,-9999,375,3750
