Country,Country code,FAO_id,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,4,2,7752.12 ,7839.51 ,7934.98 ,8038.60 ,8150.45 ,8270.58 ,8399.03 ,8535.81 ,8680.95 ,8834.45 ,8996.35 ,9166.76 ,9345.87 ,9533.95 ,9731.36 ,9938.41 ,10152.33 ,10372.63 ,10604.35 ,10854.43 ,11126.12 ,11417.83 ,11721.94 ,12027.82 ,12321.54 ,12590.29 ,12840.30 ,13067.54 ,13237.73 ,13306.70 ,13248.37 ,13053.95 ,12749.65 ,12389.27 ,12047.12 ,11783.05 ,11601.04 ,11502.76 ,11540.89 ,11777.61 ,12249.11 ,12993.66 ,13981.23 ,15095.10 ,16172.72 ,17099.54 ,17822.88 ,18381.61 ,18864.00 ,19403.68 ,20093.76 ,20966.46 ,21979.92 ,23064.85 ,24118.98 ,25070.80 ,25893.45 ,26616.79 ,27294.03 ,28004.33 ,28803.17 ,29708.60 ,30696.96 ,31731.69 ,32758.02 ,33736.49 
Albania,8,3,1263.17 ,1287.50 ,1316.09 ,1348.10 ,1382.88 ,1419.97 ,1459.09 ,1500.15 ,1543.22 ,1588.48 ,1636.06 ,1685.90 ,1737.64 ,1790.53 ,1843.59 ,1896.13 ,1947.79 ,1998.69 ,2049.15 ,2099.65 ,2150.60 ,2202.04 ,2253.84 ,2306.00 ,2358.46 ,2411.23 ,2464.34 ,2517.87 ,2571.85 ,2626.29 ,2681.24 ,2735.33 ,2788.31 ,2842.62 ,2901.59 ,2966.80 ,3041.01 ,3121.34 ,3197.07 ,3253.66 ,3281.45 ,3275.43 ,3240.59 ,3189.58 ,3140.60 ,3106.74 ,3092.23 ,3093.04 ,3103.76 ,3115.58 ,3121.97 ,3122.41 ,3119.03 ,3111.01 ,3097.75 ,3079.18 ,3054.33 ,3023.91 ,2991.65 ,2962.64 ,2940.53 ,2926.66 ,2920.04 ,2918.98 ,2920.78 ,2923.35 
Algeria,12,4,8872.25 ,9039.91 ,9216.40 ,9405.44 ,9609.51 ,9829.72 ,10065.82 ,10316.29 ,10578.45 ,10848.97 ,11124.89 ,11404.86 ,11690.15 ,11985.14 ,12295.97 ,12626.95 ,12980.27 ,13354.20 ,13744.39 ,14144.44 ,14550.03 ,14960.11 ,15377.09 ,15804.43 ,16247.11 ,16709.10 ,17190.24 ,17690.18 ,18212.33 ,18760.76 ,19337.72 ,19943.66 ,20575.70 ,21228.29 ,21893.85 ,22565.91 ,23241.27 ,23917.90 ,24591.49 ,25257.67 ,25912.37 ,26554.33 ,27181.09 ,27786.26 ,28362.25 ,28904.30 ,29411.42 ,29886.84 ,30335.73 ,30765.61 ,31183.66 ,31592.15 ,31995.05 ,32403.51 ,32831.10 ,33288.44 ,33777.92 ,34300.08 ,34860.72 ,35465.76 ,36117.64 ,36819.56 ,37565.85 ,38338.56 ,39113.31 ,39871.53 
American Samoa,16,5,18.94 ,19.30 ,19.54 ,19.68 ,19.73 ,19.70 ,19.65 ,19.60 ,19.60 ,19.73 ,20.01 ,20.49 ,21.12 ,21.88 ,22.70 ,23.52 ,24.32 ,25.12 ,25.89 ,26.61 ,27.29 ,27.92 ,28.49 ,29.01 ,29.49 ,29.93 ,30.32 ,30.69 ,31.10 ,31.67 ,32.46 ,33.49 ,34.74 ,36.16 ,37.69 ,39.24 ,40.84 ,42.45 ,44.05 ,45.59 ,47.04 ,48.38 ,49.59 ,50.72 ,51.80 ,52.87 ,53.93 ,54.94 ,55.90 ,56.77 ,57.52 ,58.18 ,58.73 ,59.12 ,59.26 ,59.12 ,58.65 ,57.90 ,57.03 ,56.23 ,55.64 ,55.32 ,55.23 ,55.31 ,55.44 ,55.54 
Andorra,20,6,6.20 ,6.69 ,7.25 ,7.87 ,8.53 ,9.23 ,9.99 ,10.78 ,11.62 ,12.50 ,13.41 ,14.38 ,15.37 ,16.41 ,17.47 ,18.55 ,19.65 ,20.76 ,21.89 ,23.06 ,24.28 ,25.56 ,26.89 ,28.23 ,29.52 ,30.71 ,31.78 ,32.77 ,33.74 ,34.82 ,36.07 ,37.50 ,39.11 ,40.87 ,42.71 ,44.60 ,46.52 ,48.46 ,50.43 ,52.45 ,54.51 ,56.67 ,58.89 ,60.97 ,62.68 ,63.85 ,64.36 ,64.33 ,64.14 ,64.37 ,65.39 ,67.34 ,70.05 ,73.18 ,76.24 ,78.87 ,80.99 ,82.68 ,83.86 ,84.46 ,84.45 ,83.75 ,82.43 ,80.79 ,79.22 ,78.01 
Angola,24,7,4548.02 ,4659.33 ,4774.56 ,4890.47 ,5004.76 ,5116.07 ,5224.00 ,5329.10 ,5432.72 ,5536.78 ,5643.18 ,5753.02 ,5866.06 ,5980.42 ,6093.32 ,6203.30 ,6309.77 ,6415.00 ,6523.79 ,6642.63 ,6776.38 ,6927.27 ,7094.83 ,7277.96 ,7474.34 ,7682.48 ,7901.00 ,8130.99 ,8376.15 ,8641.52 ,8929.90 ,9244.51 ,9582.16 ,9931.56 ,10277.32 ,10609.04 ,10921.04 ,11218.27 ,11513.97 ,11827.24 ,12171.44 ,12553.45 ,12968.35 ,13403.73 ,13841.30 ,14268.99 ,14682.28 ,15088.98 ,15504.32 ,15949.77 ,16440.92 ,16983.27 ,17572.65 ,18203.37 ,18865.72 ,19552.54 ,20262.40 ,20997.69 ,21759.42 ,22549.55 ,23369.13 ,24218.57 ,25096.15 ,25998.34 ,26920.47 ,27859.31 
Anguilla,660,258,5.12 ,5.30 ,5.45 ,5.55 ,5.64 ,5.70 ,5.74 ,5.78 ,5.81 ,5.83 ,5.86 ,5.90 ,5.95 ,6.00 ,6.06 ,6.12 ,6.17 ,6.23 ,6.28 ,6.35 ,6.40 ,6.45 ,6.50 ,6.56 ,6.60 ,6.63 ,6.66 ,6.69 ,6.71 ,6.71 ,6.70 ,6.65 ,6.59 ,6.54 ,6.55 ,6.66 ,6.88 ,7.20 ,7.57 ,7.97 ,8.33 ,8.67 ,8.98 ,9.27 ,9.54 ,9.80 ,10.06 ,10.30 ,10.55 ,10.79 ,11.07 ,11.37 ,11.69 ,12.02 ,12.34 ,12.64 ,12.90 ,13.15 ,13.36 ,13.57 ,13.77 ,13.95 ,14.13 ,14.30 ,14.46 ,14.61 
Antigua and Barbuda,28,8,46.30 ,48.37 ,50.00 ,51.26 ,52.21 ,52.90 ,53.42 ,53.84 ,54.24 ,54.72 ,55.34 ,56.14 ,57.14 ,58.29 ,59.52 ,60.78 ,62.06 ,63.36 ,64.66 ,65.91 ,67.10 ,68.19 ,69.18 ,70.07 ,70.88 ,71.61 ,72.29 ,72.88 ,73.32 ,73.53 ,73.44 ,73.07 ,72.45 ,71.64 ,70.73 ,69.78 ,68.81 ,67.85 ,67.06 ,66.63 ,66.70 ,67.31 ,68.43 ,69.94 ,71.72 ,73.62 ,75.63 ,77.74 ,79.85 ,81.83 ,83.58 ,85.06 ,86.27 ,87.29 ,88.26 ,89.25 ,90.30 ,91.38 ,92.48 ,93.58 ,94.66 ,95.72 ,96.78 ,97.82 ,98.88 ,99.92 
Argentina,32,9,17150.34 ,17507.13 ,17866.10 ,18224.15 ,18579.04 ,18929.35 ,19274.53 ,19614.85 ,19951.32 ,20285.53 ,20619.08 ,20953.08 ,21287.68 ,21621.84 ,21953.93 ,22283.39 ,22608.75 ,22932.20 ,23261.28 ,23605.99 ,23973.06 ,24366.44 ,24782.95 ,25213.39 ,25644.51 ,26066.98 ,26477.15 ,26878.57 ,27277.74 ,27684.53 ,28105.89 ,28543.36 ,28993.99 ,29454.74 ,29920.90 ,30388.78 ,30857.24 ,31326.47 ,31795.52 ,32263.56 ,32729.74 ,33193.92 ,33655.15 ,34110.92 ,34558.12 ,34994.81 ,35419.68 ,35833.97 ,36241.59 ,36648.07 ,37057.45 ,37471.51 ,37889.37 ,38309.38 ,38728.70 ,39145.49 ,39558.89 ,39970.22 ,40382.39 ,40799.41 ,41223.89 ,41656.88 ,42096.74 ,42539.93 ,42981.52 ,43417.77 
Armenia,51,1,1353.51 ,1381.87 ,1418.28 ,1461.42 ,1510.17 ,1563.51 ,1620.59 ,1680.71 ,1743.30 ,1807.92 ,1874.12 ,1941.49 ,2009.53 ,2077.58 ,2145.00 ,2211.32 ,2276.03 ,2339.12 ,2401.14 ,2462.93 ,2525.07 ,2587.71 ,2650.48 ,2712.78 ,2773.75 ,2832.76 ,2889.58 ,2944.38 ,2997.41 ,3049.11 ,3099.75 ,3148.09 ,3193.69 ,3238.59 ,3285.60 ,3335.94 ,3392.26 ,3451.94 ,3504.65 ,3536.47 ,3538.17 ,3505.25 ,3442.81 ,3363.10 ,3283.66 ,3217.34 ,3168.22 ,3133.09 ,3108.68 ,3089.02 ,3069.59 ,3050.66 ,3033.90 ,3017.81 ,3000.61 ,2981.26 ,2958.50 ,2933.06 ,2908.22 ,2888.58 ,2877.31 ,2875.58 ,2881.92 ,2893.51 ,2906.22 ,2916.95 
