"","fao_id","Area","subregion","1989","1992","1995","1998","2001","2004","2007","2010","2013"
"1",1,"Armenia","Western Asia",0.584394266541883,0.573930759456562,0.669605035176223,0.738366168886938,0.713065464556973,0.692568123589153,0.719715792470852,0.728039812819621,0.638772269795573
"2",2,"Afghanistan","Southern Asia",0.723229643725222,0.739839885142364,0.771957203840941,0.722304647259048,0.699268667146269,0.694532798520693,0.694242473988515,0.731282073027643,0.74758400638928
"3",3,"Albania","Southern Europe",0.568455842377417,0.549365531410122,0.559248786368496,0.558407623244382,0.627046320067006,0.613444451136409,0.654779665283674,0.688719773016894,0.685488850559556
"4",4,"Algeria","Northern Africa",0.616474601342409,0.666421770825408,0.695969707775959,0.603595617786027,0.595320137953647,0.762122284656605,0.74642596478449,0.743733027857024,0.742366648098959
"5",7,"Angola","Middle Africa",0.763404267306096,0.747225913902675,0.741058149248869,0.746979467020262,0.733340855336937,0.759788628154931,0.753652422707463,0.774128233440353,0.775639812897505
"6",8,"Antigua and Barbuda","Caribbean",0.346726122170562,0.341663858281733,0.268699077124265,0.286201033988916,0.344136547113945,0.359101150435016,0.416666123294706,0.419301535822631,0.453392020035303
"7",9,"Argentina","South America",0.551383375328751,0.566070689680964,0.574703433548849,0.576767588268175,0.585935638688997,0.558074173255714,0.56956527688862,0.567044779134298,0.571018990526177
"8",10,"Australia","Australia and New Zealand",0.857400445414208,0.854449204506143,0.859357629115946,0.855470105674413,0.848787152884824,0.863582331887043,0.857108933578988,0.851467311389517,0.861695490002393
"9",11,"Austria","Western Europe",0.754563759305614,0.76590460868648,0.78127903049954,0.769286221276306,0.783380821235904,0.802365617118727,0.81883929087444,0.805120947121709,0.803387429909384
"10",12,"Bahamas","Caribbean",0.577957263420836,0.570009426728978,0.555278710739331,0.594356660616196,0.653243580376031,0.62863051755525,0.629122790282086,0.676503606803502,0.725301061329711
"11",14,"Barbados","Caribbean",0.676714892388629,0.654499280067923,0.669554997292409,0.643691310006899,0.63142334834032,0.643177053308323,0.650626705991637,0.664648194147271,0.668284699617437
"12",16,"Bangladesh","Southern Asia",0.690233296186309,0.673708947177043,0.726728419074095,0.61948190525952,0.595890732631347,0.625094360704234,0.614739482064765,0.638381225801875,0.626448412475613
"13",17,"Bermuda","Northern America",0.374277746701927,0.387182287438328,0.502674551393342,0.469438181806745,0.387897592154056,0.368126423460686,0.420979133767744,0.439504667545068,0.566679029300261
"14",19,"Bolivia (Plurinational State of)","South America",0.727110930381243,0.783987289030672,0.790734616724082,0.790631872827136,0.827210425403931,0.827098128040724,0.760703302790254,0.742650881416183,0.758022507370675
"15",20,"Botswana","Southern Africa",0.646573309157576,0.755824421671454,0.765965579639487,0.746109240839859,0.769980658785725,0.743814617927606,0.670712838401238,0.714894994840118,0.654832580154028
"16",21,"Brazil","South America",0.520855363475758,0.543782380931579,0.588098099314095,0.624357205824248,0.591290050184463,0.607590792197937,0.617527853284627,0.633981163310083,0.64585520635416
"17",23,"Belize","Central America",0.484436014586134,0.496412734814345,0.483281740128986,0.481217745708351,0.545297334397316,0.643089752362675,0.655550292599352,0.656994390935222,0.65624372605589
"18",25,"Solomon Islands","Melanesia",0.425238269784278,0.313712455877038,0.363537369479877,0.381799782877905,0.440662408038085,0.454382380149955,0.478858854237469,0.480242322453566,0.509491226201476
"19",26,"Brunei Darussalam","South-Eastern Asia",0.727616284037793,0.622795201187593,0.64421550936783,0.713657849468875,0.692089648122918,0.743783251579274,0.756799349390735,0.714986031004572,0.730699702076295
"20",27,"Bulgaria","Eastern Europe",0.648286245789634,0.597630792544551,0.582170242501672,0.544502149148354,0.568463506240075,0.553640286186063,0.591626131175854,0.663994002746017,0.69601927647534
"21",28,"Myanmar","South-Eastern Asia",0.747224359193373,0.689466721420331,0.717556511478886,0.790624872568678,0.853762785349384,0.867203287371893,0.871626445589622,0.853891913302456,0.852396764800453
"22",32,"Cameroon","Middle Africa",0.804229518676168,0.792926563547397,0.783561039129531,0.79031493044911,0.802057156116935,0.796584689233811,0.783299936929245,0.785037823525613,0.78360611900897
"23",33,"Canada","Northern America",0.75856028660375,0.751974136051191,0.719927591675224,0.716719027289562,0.737659761592704,0.750111271538763,0.754552254783743,0.771516149200345,0.7811413611457
"24",35,"Cabo Verde","Western Africa",0.608208947856034,0.577219401009357,0.606721508933181,0.663369417948457,0.640097673015556,0.650844573492528,0.655418299506646,0.674493230649725,0.679495085480998
"25",37,"Central African Republic","Middle Africa",0.608978546050811,0.683228038029727,0.67545028456585,0.652248203360278,0.642586775405617,0.626162834113314,0.609213942152007,0.636959297586551,0.606411625369371
"26",38,"Sri Lanka","Southern Asia",0.327614446305124,0.331380912758746,0.347142078448662,0.363593651848813,0.388747654772653,0.400249724132277,0.384660067189617,0.414582712924863,0.393912554060257
"27",39,"Chad","Middle Africa",0.704052147886987,0.639573287234508,0.604901814593521,0.581488159560394,0.544527033231033,0.569243523312084,0.602418961663845,0.613977584303387,0.624331975600629
"28",40,"Chile","South America",0.728438676828466,0.70825413439891,0.684875387009278,0.703259464729606,0.702967157518635,0.731638043842729,0.734969136735497,0.73980597386496,0.736042765300446
"29",41,"China, mainland","Eastern Asia",0.720596949830783,0.714806644510596,0.727436816258493,0.738259052742499,0.739087559800517,0.738597678695593,0.740768049862194,0.741462487202835,0.741059315915353
"30",44,"Colombia","South America",0.745448183897527,0.754124634287945,0.744903421361225,0.747288266427701,0.718237845978535,0.712266184819878,0.720611143588168,0.712706144750839,0.707706882399438
"31",46,"Congo","Middle Africa",0.631728674345278,0.674837717989357,0.691871089643579,0.737759421106331,0.689322343255528,0.626629166856012,0.595988727829538,0.623561557191702,0.619502944824111
"32",48,"Costa Rica","Central America",0.603389536962753,0.577952463819718,0.617468598104377,0.650970444012233,0.677917510315801,0.687305643930803,0.705527840031417,0.681152521926946,0.700418153405756
"33",49,"Cuba","Caribbean",0.571962018075774,0.708851028256857,0.729232595424935,0.778253470964075,0.785703868884977,0.708381271930134,0.686401490217685,0.753955510551488,0.70067456133561
"34",50,"Cyprus","Western Asia",0.835400903162384,0.857238238534087,0.855313526434671,0.860539903556954,0.879723462786541,0.870762360357261,0.855217894465629,0.846778499717666,0.825102357833214
"35",52,"Azerbaijan","Western Asia",0.570773125405184,0.58582241101434,0.683872712542978,0.71088861567368,0.722721126708372,0.707029038683225,0.719775561837555,0.728399127218595,0.719587558614498
