trend_sign,prod_div-n,prod_div-pop,supply_div-n,supply_div-pop,trade_dep-n,trade_dep-pop,import_partners-n,import_partners-pop,resilience-n,resilience-pop
-99,61,189587.47,61,189587.47,64,237873.28,75,490257.21,111,2167680.85
-1,64,2277700.57,62,2897745.4899999998,NA,NA,30,3519002.58,33,783747.77
0,50,961911.2,57,1328996.03,169,6975553.32,47,1595585.61,61,2229968.82
1,59,3784227.36,54,2797097.61,NA,NA,81,1608581.2,46,2032029.16
-99,61,189587.47,61,189587.47,64,237873.28,75,490257.21,111,2167680.85
-1,54,1661482.81,61,2995772.38,NA,NA,26,1938968.27,30,653597.73
0,59,2336857.16,58,1325900.29,169,6975553.32,44,2554066.9,66,3520512.9
1,60,3025499.16,54,2702166.46,NA,NA,88,2230134.22,45,877580.87
-99,61,189587.47,61,189587.47,64,237873.28,75,490257.21,111,2167680.85
-1,51,1932815.68,69,4806477.99,NA,NA,42,3864686.35,35,1864014.5999999999
0,55,3918949.11,55,1168846.2,169,6975553.32,56,1455604.76,65,2198491.73
1,67,1172074.34,49,1048514.94,NA,NA,60,1402878.28,40,983239.42
-99,61,189587.47,61,189587.47,64,237873.28,75,490257.21,111,2167680.85
-1,58,1231822,67,1769151.36,NA,NA,36,2774390.08,36,699977.3200000001
0,56,1359545.1199999999,62,2945897.43,169,6975553.32,55,1184503.03,77,4058444.29
1,59,4432472.01,44,2308790.34,NA,NA,67,2764276.28,28,293269.89
