"","fao_id","Area","subregion","1989","1992","1995","1998","2001","2004","2007","2010","2013"
"1",2,"Afghanistan","Southern Asia",NA,NA,NA,NA,NA,NA,NA,0.000693303032666728,0.00555276377519906
"2",3,"Albania","Southern Europe",NA,NA,NA,0.293732820940366,0.367084842355111,0.492303659598237,0.545202354795001,0.558480444881778,0.532414596402687
"3",4,"Algeria","Northern Africa",0.617006476146199,0.697121803101409,0.0897061263040811,0.72543156137066,0.644168613429948,0.494102487467556,0.652105375262286,0.61143257835424,0.68307428271915
"4",8,"Antigua and Barbuda","Caribbean",NA,NA,NA,NA,NA,NA,0.346413340625856,NA,0.50468895465106
"5",9,"Argentina","South America",0.338688248303008,0.443640049122036,0.511719735640901,0.532959697157847,0.500015451522008,0.425863617985764,0.473974937516722,0.515474211045494,0.475343858083175
"6",1,"Armenia","Western Asia",0.628240460077034,NA,NA,NA,0.584955414073648,0.770074399464585,0.787585557154704,0.757394202274239,0.750309169946822
"7",10,"Australia","Australia and New Zealand",0.84458992936836,0.802611392143983,0.767800428866023,0.757943834209684,0.808484953919933,0.803869042284522,0.810218331209133,0.783029428845588,0.793727844692089
"8",11,"Austria","Western Europe",0.877551602135969,0.912500601317528,0.885082822533892,0.759012253333473,0.756139994891803,0.718833305628181,0.731989707826635,0.709260637892432,0.71319760182321
"9",52,"Azerbaijan","Western Asia",0.628240460077034,NA,NA,NA,0.481659884874214,0.606051088250952,0.608956309483522,0.772465639144647,0.657976408541651
"10",12,"Bahamas","Caribbean",NA,NA,NA,NA,0.0259230137959583,NA,0.0390988904252001,0.0347217933744689,0.0552754673638553
"11",16,"Bangladesh","Southern Asia",NA,NA,NA,0.257946627603185,NA,NA,0.396499210632721,NA,NA
"12",14,"Barbados","Caribbean",0.73652212131,0.732176703682743,0.688214069076454,0.678602144944647,0.620684813817212,0.641016331158508,0.646914452928676,0.63318203177518,0.616135238952531
"13",57,"Belarus","Eastern Europe",0.628240460077034,NA,NA,0.813033488812346,0.782391973346053,0.784322461390879,0.815246611438922,0.863561074294134,0.792523421948368
"14",255,"Belgium","Western Europe",0.766803967861836,0.812855956448756,0.831684960629586,0.882791747114702,0.871848397736366,0.850188938059399,0.867068150461354,0.830807394772926,0.828320171404809
"15",23,"Belize","Central America",NA,0.33208525005741,0.386863166697633,0.310948988922161,0.350280454738784,0.469186389748228,0.44385118372436,0.398863909743844,0.366929221959399
"16",53,"Benin","Western Africa",NA,0.275492399937132,0.371033802175256,0.299366064205326,0.417225170646259,0.516243501976786,0.595136596101466,0.452846415422159,0.620066503452887
"17",17,"Bermuda","Northern America",NA,NA,NA,NA,NA,NA,0.0722156661607744,NA,0.0309002442274196
"18",19,"Bolivia (Plurinational State of)","South America",0.325374094917044,0.437823561542378,0.289418001072632,0.260263227506401,0.321600986148223,0.309067935626755,0.406806080975126,0.385253146500764,0.427345660086619
"19",80,"Bosnia and Herzegovina","Southern Europe",0.739535339097771,0.838357559808069,NA,NA,NA,0.760654841802782,0.78299405007773,0.777195827161279,0.798389575772393
"20",20,"Botswana","Southern Africa",NA,0.0225635358486426,0.0358130743417149,0.024141501259907,0.0323422859185448,0.0193226217865947,0.0429497735813202,0.0162757285430387,0.0614682217831797
"21",21,"Brazil","South America",0.187833063011984,0.271866837607644,0.454189246563917,0.446583765370812,0.422474619403881,0.346051248286306,0.354624941707327,0.44622031867787,0.536026443211539
"22",26,"Brunei Darussalam","South-Eastern Asia",NA,NA,NA,NA,NA,0.658337835040314,NA,NA,0.58159173108014
"23",27,"Bulgaria","Eastern Europe",0.485727360457687,0.662157733600462,NA,NA,0.648858828945603,0.70556937798457,0.685038425236395,0.644642755255978,0.649965037288452
"24",233,"Burkina Faso","Western Africa",NA,NA,0.594827058689669,0.391470803984604,0.500332132551875,0.60507772721091,NA,0.659399971527401,0.764959961655075
"25",35,"Cabo Verde","Western Africa",NA,NA,NA,0,0.413990019171123,NA,0.462358046556148,0.411652201749781,0.431477802753202
"26",115,"Cambodia","South-Eastern Asia",NA,NA,NA,NA,0.566516618343537,0.640129896404035,NA,0.553209820379821,0.605621604656261
"27",32,"Cameroon","Middle Africa",0.49613753049983,0.449056480504152,0.59363655150034,0.485751832061475,0.407782679240528,0.63687068355482,0.653290428607579,0.638455191658755,0.63333897838376
